Year,Sources,Name,Authors,First Author,Chinese/English,Abstract,Venues,doi,Citation,Id,Keywords
2020,Journal of Usability Studies,Practices and Challenges of Using Think-Aloud Protocols in Industry: An International Survey,"Mingming Fan, Serina Shi, Khai N Truong",Mingming Fan,English,"Think-aloud protocols are one of the classic methods often taught in universities for training UX designers and researchers. Although previous research reported how these protocols were used in industry, the findings were typically based on the practices of a small number of professionals in specific geographic regions or on studies conducted years ago. As UX practices continuously evolve to address new challenges emerging in industry, it is important to understand the challenges faced by current UX practitioners around the world when using think-aloud protocols. Such an understanding is beneficial for UX professionals to reflect on and learn from the UX community¡¯s practices. It is also invaluable for academic researchers and educators to understand the challenges faced by professionals when carrying out the protocols in a wide range of practical contexts and to better explore methods to address these challenges. We conducted an international survey study with UX professionals in various sized companies around the world. We found that think-aloud protocols are widely and almost equally used in controlled lab studies and remote usability testing; concurrent protocols are more popular than retrospective protocols. Most UX practitioners probe participants during test sessions, explicitly request them to verbalize particular types of content, and do not administer practice sessions. The findings also offer insights on practices and challenges in analyzing think-aloud sessions. In sum, UX practitioners often deal with the tension between validity and efficiency in their analysis and demand better fast-paced and reliable analysis methods than?¡­",Article,http://uxpajournal.org/wp-content/uploads/sites/7/pdf/JUS_Fan_Feb2020.pdf,75,fan2020practices,"Think-aloud protocols, usability test, user experience, industry practices and challenges, international survey"
2020,IEEE Transactions on Visualization and Computer Graphics,Chartseer: Interactive steering exploratory visual analysis with machine intelligence,"Jian Zhao, Mingming Fan, Mi Feng",Jian Zhao,English,"During exploratory visual analysis (EVA), analysts need to continually determine which subsequent activities to perform, such as which data variables to explore or how to present data variables visually. Due to the vast combinations of data variables and visual encodings that are possible, it is often challenging to make such decisions. Further, while performing local explorations, analysts often fail to attend to the holistic picture that is emerging from their analysis, leading them to improperly steer their EVA. These issues become even more impactful in the real world analysis scenarios where EVA occurs in multiple asynchronous sessions that could be completed by one or more analysts. To address these challenges, this work proposes ChartSeer, a system that uses machine intelligence to enable analysts to visually monitor the current state of an EVA and effectively identify future activities to perform. ChartSeer?¡­",Article,https://ieeexplore.ieee.org/abstract/document/9174891/,42,zhao2020chartseer,"Exploratory visual analysis, interactive steering, visualization recommendation, machine learning"
2021,IEEE Transactions on Software Engineering,Accessible or not? an empirical investigation of Android app accessibility,"Sen Chen, Chunyang Chen, Lingling Fan, Mingming Fan, Xian Zhan, Yang Liu",Sen Chen,English,"Mobile apps provide new opportunities to people with disabilities to act independently in the world. Following the law of the US, EU, mobile OS vendors such as Google and Apple have included accessibility features in their mobile systems and provide a set of guidelines and toolsets for ensuring mobile app accessibility. Motivated by this trend, researchers have conducted empirical studies by using the inaccessibility issue rate of each page (i.e., screen level) to represent the characteristics of mobile app accessibility. However, there still lacks an empirical investigation directly focusing on the issues themselves (i.e., issue level) to unveil more fine-grained findings, due to the lack of an effective issue detection method and a relatively comprehensive dataset of issues. To fill in this literature gap, we first propose an automated app page exploration tool, named Xbot, to facilitate app accessibility testing and?¡­",Article,https://ieeexplore.ieee.org/abstract/document/9525343/,39,chen2021accessible,"Mobile accessibility, empirical study, automated accessibility testing, Android app, Xbot"
2022,Proceedings of the ACM on Human-Computer Interaction,Human-ai collaboration for ux evaluation: Effects of explanation and synchronization,"Mingming Fan, Xianyou Yang, TszTung Yu, Q Vera Liao, Jian Zhao",Mingming Fan,English,"Analyzing usability test videos is arduous. Although recent research showed the promise of AI in assisting with such tasks, it remains largely unknown how AI should be designed to facilitate effective collaboration between user experience (UX) evaluators and AI. Inspired by the concepts of agency and work context in human and AI collaboration literature, we studied two corresponding design factors for AI-assisted UX evaluation: explanations and synchronization. Explanations allow AI to further inform humans how it identifies UX problems from a usability test session; synchronization refers to the two ways humans and AI collaborate: synchronously and asynchronously. We iteratively designed a tool-AI Assistant-with four versions of UIs corresponding to the two levels of explanations (with/without) and synchronization (sync/async). By adopting a hybrid wizard-of-oz approach to simulating an AI with reasonable?¡­",Article,https://dl.acm.org/doi/abs/10.1145/3512943,30,fan2022human," human-AI collaboration, user experience(UX), AI-assisted UX evaluation,explainable AI, intelligent user interface(UI) design, synchronization, explanation, think-aloud usability test"
2021,Proceedings of the 2021 CHI Conference on Human Factors in Computing Systems?¡­,¡°I Choose Assistive Devices That Save My Face¡± A Study on Perceptions of Accessibility and Assistive Technology Use Conducted in China,"Franklin Mingzhe Li, Di Laura Chen, Mingming Fan, Khai N Truong",Franklin Mingzhe Li,English," Despite the potential benefits of assistive technologies (ATs) for people with various disabilities, only around 7% of Chinese with disabilities have had an opportunity to use ATs. Even for those who have used ATs, the abandonment rate was high. Although China has the world¡¯s largest population with disabilities, prior research exploring how ATs are used and perceived, and why ATs are abandoned have been conducted primarily in North America and Europe. In this paper, we present an interview study conducted in China with 26 people with various disabilities to understand their practices, challenges, perceptions, and misperceptions of using ATs. From the study, we learned about factors that influence AT adoption practices (e.g., misuse of accessible infrastructure, issues with replicating existing commercial ATs), challenges using ATs in social interactions (e.g., Chinese stigma), and misperceptions about ATs?¡­",Conference paper,https://dl.acm.org/doi/abs/10.1145/3411764.3445321,27,li2021choose,"Assistive technology, Accessibility, People with disabilities, Qualitative study, Interview, China, Misperceptions "
2020,ACM Transactions on Interactive Intelligent Systems (TiiS),Automatic Detection of Usability Problem Encounters in Think-Aloud Sessions,"Mingming Fan, Yue Li, Khai N Truong",Mingming Fan,English,"Think-aloud protocols are a highly valued usability testing method for identifying usability problems. Despite the value of conducting think-aloud usability test sessions, analyzing think-aloud sessions is often time-consuming and labor-intensive. Consequently, previous research has urged the community to develop techniques to support fast-paced analysis. In this work, we took the first step to design and evaluate machine learning (ML) models to automatically detect usability problem encounters based on users¡¯ verbalization and speech features in think-aloud sessions. Inspired by recent research that shows subtle patterns in users¡¯ verbalizations and speech features tend to occur when they encounter problems, we examined whether these patterns can be utilized to improve the automatic detection of usability problems. We first conducted and recorded think-aloud sessions and then examined the effect of different?¡­",Article,https://dl.acm.org/doi/abs/10.1145/3385732,26,fan2020automatic,"Think aloud, usability problem, verbalization, speech features, machine learning, user experience (UX), AI-assisted UX analysis method"
2020,Proceedings of the 22nd International ACM SIGACCESS Conference on Computers?¡­,Eyelid gestures on mobile devices for people with motor impairments,"Mingming Fan, Zhen Li, Franklin Mingzhe Li",Mingming Fan,English," Eye-based interactions for people with motor impairments have often used clunky or specialized equipment (e.g., eye-trackers with non-mobile computers) and primarily focused on gaze and blinks. However, two eyelids can open and close for different duration in different orders to form various eyelid gestures. We take a first step to design, detect, and evaluate a set of eyelid gestures for people with motor impairments on mobile devices. We present an algorithm to detect nine eyelid gestures on smartphones in real-time and evaluate it with twelve able-bodied people and four people with severe motor impairments in two studies. The results of the study with people with motor-impairments show that the algorithm can detect the gestures with .76 and .69 overall accuracy in user-dependent and user-independent evaluations. Moreover, we design and evaluate a gesture mapping scheme allowing for navigating mobile?¡­",Conference paper,https://dl.acm.org/doi/abs/10.1145/3373625.3416987,25,fan2020eyelid,None
2021,Proceedings of the 2021 CHI Conference on Human Factors in Computing Systems?¡­,Older adults¡¯ think-aloud verbalizations and speech features for identifying user experience problems,"Mingming Fan, Qiwen Zhao, Vinita Tibdewal",Mingming Fan,English,"Subtle patterns in users¡¯ think-aloud (TA) verbalizations and speech features are shown to be telltale signs of User Experience (UX) problems. However, such patterns were uncovered among young adults. Whether such patterns apply for older adults remains unknown. We conducted TA usability testing with older adults using physical and digital products. We analyzed their verbalizations, extracted speech features, identified UX problems, and uncovered the patterns that indicate UX problems. Our results show that when older adults encounter problems, their verbalizations tend to include observations (remarks), negations, question words and words with negative sentiments; and their voices tend to include high loudness, high pitch and high speech rate. We compare these subtle patterns with those of young adults uncovered in recent studies and discuss the implications of these patterns for the design of Human?¡­",Conference paper,https://dl.acm.org/doi/abs/10.1145/3411764.3445680,24,fan2021older,"older adults, elderly, seniors, think-aloud,  verbalization,  speech features, UX problems, usability testing, remote usability testing, AI-assisted UX analysis, human-AI collaboration for UX analysis "
2021,Proceedings of the 2021 CHI Conference on Human Factors in Computing Systems?¡­,Vmirror: Enhancing the interaction with occluded or distant objects in vr with virtual mirrors,"Nianlong Li, Zhengquan Zhang, Can Liu, Zengyao Yang, Yinan Fu, Feng Tian, Teng Han, Mingming Fan",Nianlong Li,English,"Interacting with out of reach or occluded VR objects can be cumbersome. Although users can change their position and orientation, such as via teleporting, to help observe and select, doing so frequently may cause loss of spatial orientation or motion sickness. We present vMirror, an interactive widget leveraging reflection of mirrors to observe and select distant or occluded objects. We first designed interaction techniques for placing mirrors and interacting with objects through mirrors. We then conducted a formative study to explore a semi-automated mirror placement method with manual adjustments. Next, we conducted a target-selection experiment to measure the effect of the mirror¡¯s orientation on users¡¯ performance. Results showed that vMirror can be as efficient as direct target selection for most mirror orientations. We further compared vMirror with teleport technique in a virtual treasure hunt game and?¡­",Conference paper,https://dl.acm.org/doi/abs/10.1145/3411764.3445537,23,li2021vmirror,"Virtual mirror, vMirror, Virtual Reality, VR, target selection, occlusion, out of reach, DOF, raycasting"
2022,Proceedings of the Tenth International Symposium of Chinese CHI,Communication in immersive social virtual reality: A systematic review of 10 years¡¯ studies,"Xiaoying Wei, Xiaofu Jin, Mingming Fan",Xiaoying Wei,English,"As virtual reality (VR) technologies have improved in the past decade, more research has investigated how they could support more effective communication in various contexts to improve collaboration and social connectedness. However, there was no literature to summarize the uniqueness VR provided and put forward guidance for designing social VR applications for better communication. To understand how VR has been designed and used to facilitate communication in different contexts, we conducted a systematic review of the studies investigating communication in social VR in the past ten years by following the PRISMA guidelines. We highlight current practices and challenges and identify research opportunities to improve the design of social VR to better support communication and make social VR more accessible.",Conference paper,https://dl.acm.org/doi/abs/10.1145/3565698.3565767,21,wei2022communication,"Virtual Reality, Social VR, Communication, Evaluation"
